Q16-1,3,3,9000,1000000,1200000,,,3,1,1.2
Q16-3,3,4,21000,1600000,2000000,,,7,1.6,2
Q16-2,2,7,15000,1300000,1600000,,,5,1.3,1.6
P18-1,4,17,45000,2500000,3100000,,,15,2.5,3.1
P18-4,5,20,18000,2700000,2800000,,,6,2.7,2.8
P18-3,6,22,60000,3100000,3700000,,,20,3.1,3.7
P18-2,3,28,30000,2400000,3000000,,,10,2.4,3
P15,5,35,36000,2200000,2700000,,,12,2.2,2.7
Q1,2,110,105000,4300000,5200000,,,35,4.3,5.2
K12,5,150,150000,5400000,6400000,,,50,5.4,6.4
Southern North Sea,2,372,120000,4700000,5600000,,,40,4.7,5.6
Barendrecht,40,0,27000,1900000,2300000,,,9,1.9,2.3
